,hotel,star,review,date,real_date,length
0,그랜드 하얏트 서울,5,최고의 주말 데이트를 했습니다,1일 전,2022. 03. 14,16
1,그랜드 하얏트 서울,5,조식 맛집,2일 전,2022. 03. 13,5
2,그랜드 하얏트 서울,5,야경이 너무너무 멋졌어요,2022. 03. 07,2022. 03. 07,13
3,그랜드 하얏트 서울,4,체크인 시간 전에 도착 시 대기 할 공간이 미흡했던 것같고 시설 이용할 수 있는게 한정적이여서 아쉬움이 컸음,2022. 03. 07,2022. 03. 07,60
4,그랜드 하얏트 서울,5,직원분이 너무너무 친절하셔서 기분 좋게 잘 다녀왔습니다,2022. 03. 07,2022. 03. 07,30
5,그랜드 하얏트 서울,5,걸어가긴 힘든데 넘 조아요,2022. 03. 05,2022. 03. 05,14
6,그랜드 하얏트 서울,5,good,2022. 03. 04,2022. 03. 04,4
7,그랜드 하얏트 서울,5,최고,2022. 03. 02,2022. 03. 02,2
8,그랜드 하얏트 서울,5,역시 5성급은 달라요,2022. 03. 02,2022. 03. 02,11
9,그랜드 하얏트 서울,5,좋았습니다,2022. 02. 28,2022. 02. 28,5
10,그랜드 하얏트 서울,5,최상층 됐는데 다들 진짜 너무 친절하시고 재밌는것도 많아서 노히려 피곤할정도로 놀고왔네요 나중에 부모님도 모시고 오려구요 또 오고 싶어요,2022. 02. 23,2022. 02. 23,76
11,그랜드 하얏트 서울,5,친절하고 시설도 좋네요,2022. 02. 23,2022. 02. 23,12
12,그랜드 하얏트 서울,3,시설 분위기 친절 다 조으나휘트니스는 클럽 회원 아님 옷 안빌려주네요자세한 내용이 적혀있지 않아요이용은 가능하나 개인 옷 가져가야함주차비도 별도네용  스쿼시 필라테스 사우나 다 별도로 돈이들어요,2022. 02. 22,2022. 02. 22,108
13,그랜드 하얏트 서울,5,깔끔 했습니다하지만 투숙객에게도 주차비를 받는곳운 처음이네요,2022. 02. 21,2022. 02. 21,33
14,그랜드 하얏트 서울,5,말이필요없,2022. 02. 21,2022. 02. 21,5
15,그랜드 하얏트 서울,3,나쁘잔않지만 가성비를따지자면 그닥,2022. 02. 20,2022. 02. 20,18
16,그랜드 하얏트 서울,3,그냥그래요,2022. 02. 20,2022. 02. 20,5
17,그랜드 하얏트 서울,5,말그대로 돈값하네요 룸서비스도 맛이며 간이며 양도 좋았습니다 욕조가 좀 작은거말곤 아쉬운거 하나 없는 숙박이었습니다,2022. 02. 17,2022. 02. 17,64
18,그랜드 하얏트 서울,4,잘 쉬다 옵니다 조식도 맛있네요,2022. 02. 17,2022. 02. 17,17
19,그랜드 하얏트 서울,5,아이스링크장 이용하고 수영하고아이와 잘 놀다 왔습니다 좋네요,2022. 02. 16,2022. 02. 16,33
20,그랜드 하얏트 서울,5,너무 좋았습니다  위치도 좋았구 재밌었어요,2022. 02. 16,2022. 02. 16,23
21,그랜드 하얏트 서울,5,시설좋고 뷰예쁘고 친절함,2022. 02. 15,2022. 02. 15,13
22,그랜드 하얏트 서울,5,뷰도 좋고 침대도 편안했습니다 잘 쉬다 갑니다,2022. 02. 14,2022. 02. 14,25
23,그랜드 하얏트 서울,5,위치 정말좋고 뷰좋은데 방음이 좀 아쉬워요 ,2022. 02. 14,2022. 02. 14,24
24,그랜드 하얏트 서울,5,너무나 좋은 추억 만들고 가요,2022. 02. 14,2022. 02. 14,16
25,그랜드 하얏트 서울,5,한강뷰 넘 좋았어요아이스링크 야경도 넘 멋졌는데체크인할때 주말이라 그런지 커피숍하고 체크인 장소가 너무 가까워서 혼잡한것 빼고는모두 굿 베이커리 빵도 맛있고 가격도 대만족입니다,2022. 02. 14,2022. 02. 14,98
26,그랜드 하얏트 서울,5,먼지 많은거 말고는 최고였습니다,2022. 02. 13,2022. 02. 13,17
27,그랜드 하얏트 서울,5,발렌타인데이인데 역시 5성급인만큼 좋은 시간 보내고 가요룸 2개로 연결되어있는 객실로 지정해주셔서 통로쪽에서 옆방에서 들리는 소리가 잘 들렸는데 친절하신 서비스로 다른 방으로 변경해주셨어요감사합니다 역시 그랜드 하얏트,2022. 02. 13,2022. 02. 13,121
28,그랜드 하얏트 서울,5,직원분들 너무 친절하고 조금 건조하긴 했지만 객실도 깨끗하고 전망이 최고였어요,2022. 02. 12,2022. 02. 12,43
29,그랜드 하얏트 서울,5,3번째 방문인데 제일 행복했던 호텔에요,2022. 02. 11,2022. 02. 11,21
30,그랜드 하얏트 서울,5,역이랑 좀 먼감이 있지만 사용함에 있어서는 어떤 호텔보다 만족스러웠습니다 ,2022. 02. 09,2022. 02. 09,41
31,그랜드 하얏트 서울,5,최고에요 항상♡,2022. 02. 09,2022. 02. 09,8
32,그랜드 하얏트 서울,5,잘 쉬다 갑니다,2022. 02. 07,2022. 02. 07,8
33,그랜드 하얏트 서울,5,한강뷰로 갔는데 생각보다 화장실도 너무 작고  갈때마다 주차비부터 원래 다른 호텔들에선 들지 않는 추가비용들이 꽤 있어서 좀 실망스러웠어요그래도 뷰는 괜찮았습니다,2022. 02. 05,2022. 02. 05,90
34,그랜드 하얏트 서울,5,좋아요좋라요,2022. 02. 03,2022. 02. 03,6
35,그랜드 하얏트 서울,5,역시 너무 좋네용,2022. 02. 01,2022. 02. 01,9
36,그랜드 하얏트 서울,5,잘 쉬다 갑니다,2022. 02. 01,2022. 02. 01,8
37,그랜드 하얏트 서울,5,친절한응대와 뷰가 너무 좋았습니다,2022. 01. 30,2022. 01. 30,18
38,그랜드 하얏트 서울,5,깔끔하고 친절해서 다음에도 또 방문 예정입니다,2022. 01. 29,2022. 01. 29,25
39,그랜드 하얏트 서울,5,모든게 만족스러웠던 하얏트 호텔,2022. 01. 27,2022. 01. 27,17
40,그랜드 하얏트 서울,3,서비스가 다 따로노는 느낌이네요기대하고 간곳인데 기대이하네요,2022. 01. 26,2022. 01. 26,33
41,그랜드 하얏트 서울,3,그냥그랬어요,2022. 01. 26,2022. 01. 26,6
42,그랜드 하얏트 서울,5,너무 잘쉬다가 갑니다 강추입니다,2022. 01. 26,2022. 01. 26,17
43,그랜드 하얏트 서울,5,너무너무 친절하고 좋아서 또 이용하고싶을정도밤에 나무에 불빛이 12시에 끝나는게 너무 아쉽고 또 놀러오고 싶어요와인잔 주문시 5000원의 요금이 발생하는 것은 아쉽지만 진짜 밥도 너무맛있고 조식 꼭 드세요,2022. 01. 26,2022. 01. 26,114
44,그랜드 하얏트 서울,4,코로나도 아빠 칠순잔치를 못해서 어머니랑 보내드렸어요 주말인데도 70번째 생신이라고 하니까 최고층으로 주셨다고 하더라구요 조식도 함께 패키지로 해서 수영장도 다녀오시고 알차게 보내시고 온것 같아요 ,2022. 01. 25,2022. 01. 25,110
45,그랜드 하얏트 서울,4,뷰는 끝내줍니다근데 방음이 너무 안좋아요 가족이랑 가시는 분들은 미리 주의 그리고 토요일에 갔는데 저녁 조식 룸서비스 시키면 두시간 정도 걸립니다,2022. 01. 24,2022. 01. 24,81
46,그랜드 하얏트 서울,5,더말할거 있나요 최고죠,2022. 01. 22,2022. 01. 22,12
47,그랜드 하얏트 서울,5,친절하고 좋았어요,2022. 01. 22,2022. 01. 22,9
48,그랜드 하얏트 서울,5,늘 최고의 만족도,2022. 01. 17,2022. 01. 17,9
49,그랜드 하얏트 서울,5,시설이 오래되긴 했지만 서비스가 좋아서 만족했습니다 다음에 또 이용할게요,2022. 01. 17,2022. 01. 17,40
50,그랜드 하얏트 서울,3,뷰가 좋았으나 서비스 음식맛 등은 기대이하임,2022. 01. 17,2022. 01. 17,24
51,그랜드 하얏트 서울,5,만족했습니다,2022. 01. 16,2022. 01. 16,6
52,그랜드 하얏트 서울,5,너무 좋았어용,2022. 01. 16,2022. 01. 16,7
53,그랜드 하얏트 서울,5,좋아요 만졷,2022. 01. 09,2022. 01. 09,6
