,hotel,star,review,date,real_date,length
0,글래드 마포,4,잘 쉬다 가요,17시간 전,2022. 03. 14,7
1,글래드 마포,5,깨끗하구 너무 좋았어용 잘 묵고갑니당,18시간 전,2022. 03. 14,20
2,글래드 마포,4,칫솔 없는게 좀 아쉬워요ㅠㅠ 침대 엄청 폭신하고 좋아용,20시간 전,2022. 03. 14,30
3,글래드 마포,5,좋아요!!!,22시간 전,2022. 03. 14,6
4,글래드 마포,5,패키지로 저렴하게 룸에서 식사할 수 있었어요ㅎㅎㅎ,23시간 전,2022. 03. 14,27
5,글래드 마포,5,만족스러운 숙소였습니다,23시간 전,2022. 03. 14,12
6,글래드 마포,5,글래드 이름값이 보장합니다,23시간 전,2022. 03. 14,14
7,글래드 마포,5,청결하고 방 넓어서 좋아요,1일 전,2022. 03. 14,14
8,글래드 마포,5,시스템이 뭔가 바뀐건지 걱정했던 체크인 소요시간이 저번보다 많이 줄어서 좋았습니다,1일 전,2022. 03. 14,45
9,글래드 마포,5,처음 갔는데 완전 최고였어요,1일 전,2022. 03. 14,15
10,글래드 마포,5,스탠다드인데도 침대가 너무 푹신해서 좋아요!,1일 전,2022. 03. 14,24
11,글래드 마포,5,매트리스 좋아용!,1일 전,2022. 03. 14,9
12,글래드 마포,5,시설이 굉장히 좋았고 건조하지 않아서 다른 곳과는 달리 편하게 잠든거 같습니다,1일 전,2022. 03. 14,43
13,글래드 마포,5,놀다갑니당,1일 전,2022. 03. 14,5
14,글래드 마포,5,다 좋은데 와인잔대여가 안되서 아쉬웠어요,1일 전,2022. 03. 14,22
15,글래드 마포,5,방 생각보다 크고 침구류도 좋았어요,1일 전,2022. 03. 14,19
16,글래드 마포,4,그럭저럭 괜찮아요 그러나 가성빈 그닥,1일 전,2022. 03. 14,20
17,글래드 마포,5,역이랑도 가깝고 아주 좋았습니다아,1일 전,2022. 03. 14,18
18,글래드 마포,5,"개인적으로 자주 애용합니다
깨끗하고 친절하고 객실이 넓어서 좋습니다.
주차도 가능하구요",2일 전,2022. 03. 13,48
19,글래드 마포,5,조아요 조아요,2일 전,2022. 03. 13,7
20,글래드 마포,5,"객실 인테리어도 깔끔하고, 청소도 잘 되어 있었어요~ 뷰도 너무 좋구! 공덕역 바로 앞이라 접근성도 편리했습니다^^",2일 전,2022. 03. 13,64
21,글래드 마포,5,"일회용품 제공 안되서 급하게 잡으시는거면 비추에욥! 
호텔인데 샴푸,바디워시 등도 모텔처럼 물 섞인듯이 다회용으로 눌러서 사용하는거라 별로였어요 ㅠ 
딱 비지니스 호텔 인것 같아요 ㅎㅎ",2일 전,2022. 03. 13,103
22,글래드 마포,5,잘 쉬다 갔어요,3일 전,2022. 03. 12,8
23,글래드 마포,5,언제나 늘 가성비 좋아서 이용해요!!,3일 전,2022. 03. 12,20
24,글래드 마포,5,좋습니다 좋아요,3일 전,2022. 03. 12,8
25,글래드 마포,5,매우 훌륭함,3일 전,2022. 03. 12,6
26,글래드 마포,5,조아요조아요,3일 전,2022. 03. 12,6
27,글래드 마포,5,너무 좋아요,3일 전,2022. 03. 12,6
28,글래드 마포,5,깨끗합니다,4일 전,2022. 03. 12,5
