,hotel,star,review,date,real_date,length
0,네스트 호텔,4,"오션뷰가 나쁘진 않은데 트인 느낌은 아니에요
수영장도 생각보단 작네요",19시간 전,2022. 03. 14,38
1,네스트 호텔,5,조아용~~,2일 전,2022. 03. 13,5
2,네스트 호텔,5,알차게 있을건 다 있더라구요 디자인부터 숙소내 설비까지 만족했어요,2일 전,2022. 03. 13,36
3,네스트 호텔,4,"바다가 조금이라도 보이면 오션뷰긴 하지만 😂
돈 조금 더내고 좋은곳 예약하는게 좋을 것 같아요",5일 전,2022. 03. 12,52
4,네스트 호텔,5,주변에 정말 아무것도 없는게 흠이지만ㅠㅠ 호텔은 너무 좋았어요 다음에 또 방문하겠습니다!,2022. 03. 07,2022. 03. 07,49
5,네스트 호텔,5,좋아요!!!,2022. 03. 07,2022. 03. 07,6
6,네스트 호텔,5,서비스와음식 모두좋았어오,2022. 03. 07,2022. 03. 07,13
7,네스트 호텔,5,가성비로 좋습니다,2022. 03. 06,2022. 03. 06,9
8,네스트 호텔,5,가성비 측면에서도 그렇고 5성급 호텔을 누릴 수 있다는게 좋습니다.,2022. 03. 04,2022. 03. 04,37
9,네스트 호텔,5,가나초코렛 센스까지~ 깨끗하고 좋아요!,2022. 03. 03,2022. 03. 03,21
10,네스트 호텔,5,생일날 갔는데 가성비 괜찮은 호텔같아요!너무 잘 즐기다 왓어요,2022. 03. 02,2022. 03. 02,34
11,네스트 호텔,5,편하게 잘 쉬다 왔어요 또 방문 하고 싶습니다,2022. 03. 01,2022. 03. 01,25
12,네스트 호텔,5,아주 깔끔하고 좋았습니다 직원분들도 너무 친절하세요,2022. 02. 28,2022. 02. 28,28
13,네스트 호텔,5,즐거운 호캉스였습니다^^,2022. 02. 27,2022. 02. 27,13
14,네스트 호텔,5,"진짜 가성비 좋았던 곳
좋은 추억 많이 만들고 갑니다",2022. 02. 27,2022. 02. 27,29
15,네스트 호텔,3,"목요일 입실인데도 인원이 많아 30여분 대기함

건물은 멋드러진 편이나 주차장을 비롯해 부대시설이 너무 빈약함 있는 것도 코로나로인해 이용불가(키즈룸, 피트니스짐, 사우나)

근처 놀거리가 거의 전무 한 지경 차타고 무의도 산책 간게 전부 였음

음식점들도 메뉴가 거의 대동소이 함 조개구이, 회, 해물칼국수

객실 컨디션은 5성급임을 생각하면 그냥 그런편 스탠다드 객실이라 그렇게 느꼈을 듯 합니다

수영장이 크지 않은데 사람들로 인산인해였습니다더보기",2022. 02. 25,2022. 02. 25,253
16,네스트 호텔,5,숙소가 깨끗하고 바다가 잘 보여서 좋았어요ㅠㅠ,2022. 02. 24,2022. 02. 24,25
17,네스트 호텔,5,조아요ㅎㅎ,2022. 02. 24,2022. 02. 24,5
18,네스트 호텔,5,Good ❤️❤️❤️❤️❤️❤️❤️,2022. 02. 24,2022. 02. 24,19
19,네스트 호텔,5,"벌써 2번째인데 연인, 가족동반 무리없고 합리적인 가격!!
강력추천 드려요!!!",2022. 02. 23,2022. 02. 23,44
