,hotel,star,review,date,real_date,length
0,노보텔 앰배서더 서울 용산,5,헬스장도좋고 다좋았어요,4시간 전,2022. 03. 15,12
1,노보텔 앰배서더 서울 용산,5,좋아요! 또올께요 :),1일 전,2022. 03. 14,12
2,노보텔 앰배서더 서울 용산,4,초창기때부터 이용했는데 호텔관리가 잘 안되는것 같네요. 아쉽습니다,1일 전,2022. 03. 14,36
3,노보텔 앰배서더 서울 용산,5,침대가편안하고좋아여,1일 전,2022. 03. 14,10
4,노보텔 앰배서더 서울 용산,4,즐거운 호캉스 이용이었습니다~~,1일 전,2022. 03. 14,17
5,노보텔 앰배서더 서울 용산,4,"첫호캉스 숙소였는데  좋은 시간이었어요~~
주차시간도  넉넉히 해주시고~덕분에 체크아웃 하고  대중교통을 이용해 서울구경했네요
기희가되면 다시 이용  이용할 예정~~",1일 전,2022. 03. 14,92
6,노보텔 앰배서더 서울 용산,5,"작년에 이어 오랜만에 노보텔 용산 앰버서더를 방문하게 되었습니다. 역시 만족스런 숙박이었어요.
1. 용산역과 가까워 교통이 편리합니다.
2. 방이 아주 넓지는 않은데 침대도 널찍하고 안락해서 맘에 들었습니다. 
3. 더블객실은 욕조가 없지만 방은 트윈에 비해 여유있어 좋네요.
4. 일회용칫솔은 프런트에서 제공하는 것 같습니다.
5. 주말 투숙이라 엘리베이터 대기시간이 길었던건 조금 아쉬웠습니다.
용산역 이마트에서 간단한 주류와 안주구매 했습니다. 티비도 큰편이라 룸콕하는데 만족도가 높았네요. 덕분에 안락한 시간 잘 보내고 갑니다~더보기",2일 전,2022. 03. 13,302
7,노보텔 앰배서더 서울 용산,5,처음 방문햇는데 생각햇던거보다 방 컨디션 너무좋앗고 직원분들도 친절하셔서 좋앗어요!!,2일 전,2022. 03. 13,47
8,노보텔 앰배서더 서울 용산,5,가성비 최고! 침구류가 너무 편해서 계속 자고싶었어요,2일 전,2022. 03. 13,29
9,노보텔 앰배서더 서울 용산,5,아이파크 근처라 더 좋네요 덕분에 편하고 잘 지냈어요~,2일 전,2022. 03. 13,30
10,노보텔 앰배서더 서울 용산,5,깨끗하고 좋아요,3일 전,2022. 03. 12,8
