,hotel,star,review,date,real_date,length
0,라마다 서울 동대문,5,엘리베이터가 느리지만 시설 만족스러웠어요 가성비 좋은 것 같아요,20시간 전,2022. 03. 14,35
1,라마다 서울 동대문,5,객실도 깨끗하고 너무 편히 쉴 수 있었습니다,20시간 전,2022. 03. 14,24
2,라마다 서울 동대문,5,아주 좋다 미국 스타일,1일 전,2022. 03. 14,12
3,라마다 서울 동대문,4,가성비 좋아요,1일 전,2022. 03. 14,7
4,라마다 서울 동대문,3,직원들 서비스가 별로네요,2일 전,2022. 03. 13,13
5,라마다 서울 동대문,5,청결 친절,2일 전,2022. 03. 13,5
6,라마다 서울 동대문,3,"저렴하게 괜찮아요 친절하시구 그런데 샤워기 수압이 좀 약하네요. 커피포트랑 시트는 청소 세탁이 잘 안돼있었네요.
갸격대비 괜찮고 접근성은 좋습니다.",2일 전,2022. 03. 13,82
7,라마다 서울 동대문,4,체크인 전에 짐도 보관해주시고 체크인 시에 친절히 응대해주셔서 좋았습니다~ 방음은 잘 안되는 편이었고 창문에 방충망이 없어 여름에는 잘 열어놓지 못할 것 같아요. 1층 로비에 배달존이 있어서 편리했어요. 저렴한 가격으로 잘 쉬다 갈 수 있었습니다.,2일 전,2022. 03. 13,138
8,라마다 서울 동대문,5,주차가 기계식이라 살짝 불편해요. 호텔 컨디션은 전반적으로 괜찮고 위치도 적당합니다. 직원들이 친절해요,2일 전,2022. 03. 13,57
9,라마다 서울 동대문,4,감사합니다,3일 전,2022. 03. 12,5
10,라마다 서울 동대문,5,"너무 좋았어요!! 가격도 저렴하고 깨끗하고 편했어요!!
바로 앞에 버스정류장이 있어서 교통도 좋아요!!",3일 전,2022. 03. 12,57
11,라마다 서울 동대문,5,잘이용했습니다,4일 전,2022. 03. 12,7
12,라마다 서울 동대문,5,잘 이용했습니다,4일 전,2022. 03. 12,8
13,라마다 서울 동대문,5,잘자고갑니다,4일 전,2022. 03. 12,6
14,라마다 서울 동대문,5,좋아용 또 올게용,4일 전,2022. 03. 12,9
15,라마다 서울 동대문,5,너무 잘 쉬다가여!!감사합니당!!!!,5일 전,2022. 03. 12,20
16,라마다 서울 동대문,4,깔끔하고 고층 주셔서 뷰도 나름 괜찮았어요! 또 한번 와도 좋을것같아요,6일 전,2022. 03. 12,39
17,라마다 서울 동대문,5,편히 잘. 쉬다가 왔습니다!!! 감사합니다,6일 전,2022. 03. 12,23
18,라마다 서울 동대문,5,"특가로 예약해서 방문해봤는데 방도 좁지않고 침구도 편안했어요! 뷰도 막혀있지않고 해도 들어서 좋네요! 앞에 공사중이라 아침에는 좀 시끄러웠지만, 만족스럽게 머물다 가요:) 주변에 광장시장이랑, 뚜레쥬르 본점 있어서 좋아요ㅎㅎ 다음에 또 찾게 될것 같아요",2022. 03. 08,2022. 03. 08,141
19,라마다 서울 동대문,5,위치도 좋고 넓직하면서 답답하지도 않고 전체적으로 딱 쉬기 좋은 곳이었어요,2022. 03. 07,2022. 03. 07,41
20,라마다 서울 동대문,3,예약했는데 명부에없는지 예약내역보여줬는데도 불구하고 계속 물어보고 잠깐기다려달라햇는데 찾지않아 데스크가니 그때서야 체크인 함 응대별로였음,2022. 03. 07,2022. 03. 07,76
21,라마다 서울 동대문,5,주차가좀 불편하긴했지만 시설은 만점이었습니다 정말친절하시구요!,2022. 03. 07,2022. 03. 07,34
22,라마다 서울 동대문,4,"샤워기에서 물이 새고 주차타워가 정말 좁습니다
엘리베이터도 느리구요",2022. 03. 07,2022. 03. 07,37
23,라마다 서울 동대문,3,숙소들어 갔을때 냄새가 나서 조금 불편했어요,2022. 03. 07,2022. 03. 07,24
24,라마다 서울 동대문,5,업그레이드도해주시고 깨끗합니다. 근데 샤워실이 좀 좁고 기계식주차내려가는곳 너무 좁네요 ㅠㅠ,2022. 03. 07,2022. 03. 07,51
25,라마다 서울 동대문,4,가성비를 따지면 괜찮아요,2022. 03. 06,2022. 03. 06,13
26,라마다 서울 동대문,4,호텔이라 청결하고 좋았는데 비품이 일부 누락 된게 있어서 로비에 연락하니 바로 가져다 주네요,2022. 03. 06,2022. 03. 06,51
27,라마다 서울 동대문,5,깔끔하고좋습이다,2022. 03. 06,2022. 03. 06,8
28,라마다 서울 동대문,5,깔끔하고 다 좋은데 어메니티가 거품이 하나도 안나고... 씻기고 있는지를 잘 모를정도였어요....,2022. 03. 05,2022. 03. 05,54
29,라마다 서울 동대문,4,"어메니티와 주말(토->일)에 방청소 해주시는 분은 별로였어요, 가운을 안놔두고 가셨는데 그 후 프론트 대응도 오래걸렸고. 위치나 전반적으론 만족했습니다",2022. 03. 04,2022. 03. 04,84
30,라마다 서울 동대문,5,저렴하고 깔끔해요.,2022. 03. 03,2022. 03. 03,10
31,라마다 서울 동대문,5,너무 좋습니다!,2022. 03. 03,2022. 03. 03,8
32,라마다 서울 동대문,5,너무좋아요,2022. 03. 03,2022. 03. 03,5
33,라마다 서울 동대문,4,좋았습니다. 다만 조금은 퀘퀘한 냄새와 더불어 장애인전용 방으로 전환되어 이용하게되어 당황스럽긴 했습니다. 방은 넓고 좋았지만.. 사용하기엔 편리하지만은 않았습니다. 어메니티도 아쉬웠습니다. 라마다 호텔 네이밍에 대한 기대가 너무 컸던 탓인듯 하네요. 그래도 휴일에 편하게 쉴 수 있는 곳이어서 좋은 시간 보낼 수 있었습니다.,2022. 03. 02,2022. 03. 02,182
34,라마다 서울 동대문,3,매주 찾는곳인데 청소 하시는분이 바뀌셨나요..???? 냉장고랑 선반정도는  보이는 곳이니 점검해주셔야죠 특히 냉장고 점검은 필수 일듯해요 입으로 바로 마시는 물이 있는데요. 직접 거기에 물병두고 드셔 보시라고 함 안드실듯! 경악했어요  하지만 매번그런곳은 절때 아니니 저또한 단골이겠죠 그렇지만 해당 호텔이 처음인 분들도 같은 생각 하실까요?! 청결만큼은 라마다 인데 이번에는 조금 실망했고 절때적으로 개선 하셔야 한다 생각합니다. 사용하는사람도 깨끗이 사용하고 직원분들도 잘 관리해주시고 이런것은 기본적인 에티켓 입니다.더보기,2022. 03. 02,2022. 03. 02,295
35,라마다 서울 동대문,5,편히 잘쉬다갑니다,2022. 03. 02,2022. 03. 02,9
36,라마다 서울 동대문,5,편히 잘쉬다갑니다,2022. 03. 02,2022. 03. 02,9
37,라마다 서울 동대문,5,깨끗하고 좋아요!,2022. 03. 02,2022. 03. 02,9
38,라마다 서울 동대문,4,다 괜찮았는데 방에서 냄새가 꽤 났음,2022. 03. 02,2022. 03. 02,20
39,라마다 서울 동대문,3,"음... 가격대비 정말갈만하지만
방 컨디션이 너무 더러웠어요...
이불에 이상한거 묻어있고 바닥이 다 긁혀서 너덜너덜하고...
침대구석에 ㅋㄷ포장지떨어져있고...
그냥 귀찮아서 말은안했는데
음 가격이너무싸서 뭐...더보기",2022. 03. 02,2022. 03. 02,123
40,라마다 서울 동대문,5,가성비 좋았습니다!,2022. 03. 02,2022. 03. 02,10
41,라마다 서울 동대문,5,좋아요 많이!,2022. 03. 02,2022. 03. 02,7
42,라마다 서울 동대문,5,깔끔하고 쾌적하니 좋아요~,2022. 03. 02,2022. 03. 02,14
43,라마다 서울 동대문,5,너무좋았어용,2022. 03. 02,2022. 03. 02,6
44,라마다 서울 동대문,5,"합리적인 가격, 괜찮은 위치와 방이에요",2022. 03. 01,2022. 03. 01,21
45,라마다 서울 동대문,5,최고입니다,2022. 03. 01,2022. 03. 01,5
46,라마다 서울 동대문,5,조용하고 좋았습니다,2022. 03. 01,2022. 03. 01,10
47,라마다 서울 동대문,5,"깨끗하구 친절하구 접근성또한 나쁘지않았구요.
다음에또 찾고싶은호텔이었어요.",2022. 02. 28,2022. 02. 28,41
48,라마다 서울 동대문,5,친절하고 숙소 깨끗했습니다.,2022. 02. 28,2022. 02. 28,15
49,라마다 서울 동대문,4,화장실에서 곰팡이 냄새 납니다,2022. 02. 28,2022. 02. 28,16
50,라마다 서울 동대문,5,확실히 직원분들 응대가 너무 좋았고 주차까지 신경써주셔서 너무 좋았습니다!,2022. 02. 28,2022. 02. 28,41
51,라마다 서울 동대문,5,"서울에서 5인 숙박이 가능한 호텔이어서 너무 만족스러웠습니다. 다만 아침에 다른 방에서 담배를 피는 지 오전 8-9시에 모두 역한 냄새를 맡았고 화장실을 사용할 수 없었습니다. 그래서 환풍기, 현관, 창문을 모두 열고 냄새를 뺀 뒤에 사용하였습니다. 이 부분은 굉장히 불만족스러웠지만 친절한 응대, 문의&대처, 5인 숙박이 가능한 호텔이라는 점은 매우 만족스럽습니다. 마지막으로 어매니티 중 샴푸 거품이 거의 나지 않아서 추후에는 변경되면 더 좋을 것 같습니다.",2022. 02. 28,2022. 02. 28,258
52,라마다 서울 동대문,5,"서울에서 주차도 걱정안해도 되고 광장시장 청계천 혜화 동대문 등등 다 가까워서 좋았습니다
가볍게 하루 묵고 가기 좋아요",2022. 02. 28,2022. 02. 28,66
53,라마다 서울 동대문,5,방 무료 업그레이드 해주시고 너무 친절하세요 잘 쉬다 갑니다~!,2022. 02. 28,2022. 02. 28,35
54,라마다 서울 동대문,5,방 업그레이드도 해주고 너무 좋았어요 ^^,2022. 02. 27,2022. 02. 27,23
55,라마다 서울 동대문,4,객실도 청결하고 아늑해서 좋았어요,2022. 02. 27,2022. 02. 27,18
56,라마다 서울 동대문,5,"따뜻하고 쾌적했고,
교퉁도 좋아서 재방문 의사 있어요.",2022. 02. 27,2022. 02. 27,30
57,라마다 서울 동대문,5,"조금 오래되긴 했지만 친절하신 직원분들
따뜻하게 유지되는 방온도 등 만족하며 쉬고 왔습니다",2022. 02. 27,2022. 02. 27,50
58,라마다 서울 동대문,5,항상 좋았어요.,2022. 02. 27,2022. 02. 27,8
59,라마다 서울 동대문,4,다른거 다 좋았는데 청결도가ㅠㅜ 이불 들추자마자 머리카락이 많았어용..이불 빨래 안하시는거같아여ㅠ그리고 어매니티는 샴푸랑 린스 극혐이에요 머릿결 아작남 1박이상하면 꼭 따로 챙겨가세염,2022. 02. 26,2022. 02. 26,102
60,라마다 서울 동대문,5,호텔 너무 좋았어요~ 새벽에 옆방에서 소리가 너무 커서 프론트에 전화 드렸더니 바로 해결해주시더라구요 잘 쓰다 갑니다!,2022. 02. 26,2022. 02. 26,66
61,라마다 서울 동대문,5,"가족들이 급하게 찾아서 예약했는데 위치도 좋고 교통편 주변시설등 만족합니다.
좋은가격 좋은시간보냈습니다",2022. 02. 25,2022. 02. 25,57
62,라마다 서울 동대문,5,"대중교통으로는 살짝 불편할 수 있지만 그리 힘들지 않아요
광장시장도 도보10분이면 가고 좋아요
룸컨디션도 좋았고 냉장고에 냉동실까지 있어서 더 편하고 좋았습니다",2022. 02. 25,2022. 02. 25,89
63,라마다 서울 동대문,5,시설이 깨끗하고 좋았어요,2022. 02. 24,2022. 02. 24,13
64,라마다 서울 동대문,5,너무 잘 쉬다왔답니다!,2022. 02. 24,2022. 02. 24,12
65,라마다 서울 동대문,5,늘 찬절하시고 좋아용,2022. 02. 24,2022. 02. 24,11
66,라마다 서울 동대문,5,좋았습니다,2022. 02. 23,2022. 02. 23,5
67,라마다 서울 동대문,5,잘사용했어요 감사합니다~,2022. 02. 23,2022. 02. 23,13
68,라마다 서울 동대문,5,"두번째 묵었는데요. 서비스 좋고 내부 깔끔하고 다 좋은데, 윗방에서 파티를 하는지 초저녁부터 새벽까지 계속 쿵쿵대고 소리지르고 시끄러워서 너무 화가났었습니다. 그날 잠도 제대로 못 자고 왔었는데요
방음이 안되는건지 아님 그 분들의 소리가 큰건지 모르겠네요. 그 부분만 아쉬웠고 나머지는 좋았습니다.",2022. 02. 23,2022. 02. 23,166
69,라마다 서울 동대문,5,가성비가 너무 좋아서 또 이용하게 됐습니다.,2022. 02. 23,2022. 02. 23,24
70,라마다 서울 동대문,3,"저렴하게 하루 자기 딱 좋았어요
건물이 노후 되서 그런지 바닥이나 벽은 깨끗하지 않았고
화장실에 곰팡이 냄새가 너무 심했어요
그래도 직원들이 매우 친절했고, 하루 자기 좋은 숙소입니다.",2022. 02. 23,2022. 02. 23,103
71,라마다 서울 동대문,5,너무좋아요,2022. 02. 22,2022. 02. 22,5
72,라마다 서울 동대문,3,프론트 직원의 일처리 미숙만 빼면 좋습니다. 프론트 여직원의 실수로 체크인 잘못 시켜서 제 일행이 못들어 올뻔 했습니다. 제가 전화 해야지만 사과 하시는 모습이 특히 인상적이었고 실수한 직원의 사과는 결국 듣지 못했습니다. 레이트아웃을 무료로 주셨으나 저희는 다른 사람이 문을 따고 들어오는 것이 아닌가 하는 불안감에 시달렸네요. 체크인을 잘못 시켜서 제 객실에 다른 사람이름으로 되어 있다면 보통 방을 바꿔주는게 일반적이겠지요. 객실 타입이 같으니 그냥 쓰라는 식의 태도도 놀라웠네요. 다신 숙박 안할것 같고 한국관광공사 불편 엽서로 직접 민원 예정입니다.더보기,2022. 02. 20,2022. 02. 20,315
73,라마다 서울 동대문,5,좋았어용 역이랑 가깝고 깨끗해서 잘 놀다 갑니다,2022. 02. 20,2022. 02. 20,26
74,라마다 서울 동대문,4,전반적으로  괞잖았어요,2022. 02. 20,2022. 02. 20,12
75,라마다 서울 동대문,5,너무 좋아요 근데 방안이 너무 건조한것만 빼면,2022. 02. 20,2022. 02. 20,25
76,라마다 서울 동대문,5,너무 좋아요,2022. 02. 20,2022. 02. 20,6
77,라마다 서울 동대문,2,"숙박 후 실제 후기 남겨드립니다. 악플이 아닌 있는 그대로 기재하였습니다. 

1. 서랍장 청소 안되어 있었습니다.
2. 방이 추워 난방 틀었는데, 난방에어컨 필터 청소가 안되어있는지 먼지 풀풀 날아다니다가 다 커튼에 붙어있더군요. 기관지 어떻게 하실지.. 안틀면 이불 속에서도 추웠습니다.
3. 원래 호텔 어메니티에 그냥 로션은 없는건가요? -> 바디로션만 있었네요.
4. 칫솔 1세트뿐 -> 예약당시 2명으로 예약했고, 체크인당시에도 2명이라고 재차 확인하였음에도 불구하고 화장실 가보니 칫솔 1세트뿐
-> 호텔 답변 : 형식적인 답변 감사드립니다~^^더보기",2022. 02. 19,2022. 02. 19,314
78,라마다 서울 동대문,3,전에 이용했을때 편하게 있다가 가기 괜찮았어서 이번에도 예약 했었는데 샤워 하다가 바닥이 미끌거려서 보니까 물때 였어요... 지워지던데 좀 더 신경써주셨으면 합니다.,2022. 02. 19,2022. 02. 19,92
79,라마다 서울 동대문,5,좋아여젛아여좋아ㅕ,2022. 02. 18,2022. 02. 18,9
80,라마다 서울 동대문,5,갠차나요ㅎ,2022. 02. 17,2022. 02. 17,5
81,라마다 서울 동대문,5,깨끗하고 좋아요 가성비 짱,2022. 02. 17,2022. 02. 17,14
82,라마다 서울 동대문,4,매번 잘이용하고있는데 이번에 조금아쉬움점이있다면 연박을해서 늦잠을 자던도중 옆방에서 드릴소리가났습니다. ㅠ,2022. 02. 17,2022. 02. 17,59
83,라마다 서울 동대문,5,"가격에 비해서 시설이 좋았습니다
특히 꼭대기 12층 방 배정 받아서 야경이 너무 좋았어요 그대신 주차가 기계식 주차장이 너무 좁아서 불편했습니다 그 외에는 다 좋아요",2022. 02. 16,2022. 02. 16,92
84,라마다 서울 동대문,5,너무 좋게 잘 지내다갑니다.,2022. 02. 16,2022. 02. 16,15
85,라마다 서울 동대문,5,친구들이랑 재밌게 호캉스 했어요~! 객실 업그레이드도 해주시고 최고였어요!,2022. 02. 15,2022. 02. 15,41
86,라마다 서울 동대문,5,좋았습니다,2022. 02. 15,2022. 02. 15,5
87,라마다 서울 동대문,5,방도 업그레이드 해주소 갑사합니다,2022. 02. 14,2022. 02. 14,18
88,라마다 서울 동대문,5,매주 이용하지만 정말 편하고 좋아요 다만 이번에는 옆방 엄청 시끄러워서 고생했네요 친구분들끼리 와서 신나는건 알겠지만 시간 보시고 소리를 꺅꺅 지르고 뛰고 의자 긁는 행동은 삼가하는게 좋을듯 기본 매너는 지켜주면서 이용하자구여 옆에 잘못을 프론트 직원분들께 말하는것이 좀 불편하여 찾았네요,2022. 02. 14,2022. 02. 14,161
89,라마다 서울 동대문,5,위치도 좋고 친절해요,2022. 02. 14,2022. 02. 14,11
90,라마다 서울 동대문,5,굳굳굳굳굳,2022. 02. 13,2022. 02. 13,5
91,라마다 서울 동대문,5,근처 먹을거리 볼거리가 많아서 위치가 좋아서 선택했습니다. 약간 낡은느낌이 있긴한데 시설깔끔하고 괜찮았어요. 다만 처음 체크인하고 객실 들어갈때 금연객실인데 담배냄새인지 약간 냄새가 나서 환기를 시켰었는데 객실 냄새에 좀더 신경을 써주시면 좋을 것 같습니다.,2022. 02. 13,2022. 02. 13,144
92,라마다 서울 동대문,4,가성비좋음,2022. 02. 13,2022. 02. 13,5
93,라마다 서울 동대문,5,잘쉬다가갑니다,2022. 02. 13,2022. 02. 13,7
94,라마다 서울 동대문,5,덕분에 편하게 쉬다 갔습니다 친절하고 깔끔해요,2022. 02. 12,2022. 02. 12,25
95,라마다 서울 동대문,5,청결 친절,2022. 02. 12,2022. 02. 12,5
96,라마다 서울 동대문,4,잘쉬다 갑니다 방음이 잘안되요ㅠ,2022. 02. 12,2022. 02. 12,17
97,라마다 서울 동대문,5,늘 편하고 좋아요,2022. 02. 12,2022. 02. 12,9
98,라마다 서울 동대문,5,늘 편하게 잘 이용해여,2022. 02. 12,2022. 02. 12,12
99,라마다 서울 동대문,4,동대문역에서 조금 거리가있긴한데 가격대비 퀄리티가 너무 괜찮았습니다,2022. 02. 10,2022. 02. 10,37
100,라마다 서울 동대문,5,자주 이용해요,2022. 02. 09,2022. 02. 09,7
101,라마다 서울 동대문,5,직원분들 친절하고 시설좋음,2022. 02. 08,2022. 02. 08,14
102,라마다 서울 동대문,5,친구들이랑 가서 망정이지 커플로 갔으면 싫었을 것 같아요 ㅠㅠ 베개커버에 노란 얼룩있고 먼지 많고 변기앉는 뒤쪽으로 찌든 오줌얼룩 많고…ㅠㅠ 직원분들은 친절하셨습니다,2022. 02. 08,2022. 02. 08,92
103,라마다 서울 동대문,3,그냥 호텔,2022. 02. 07,2022. 02. 07,5
104,라마다 서울 동대문,5,편하게 잘 쉬다 갑니다,2022. 02. 06,2022. 02. 06,12
105,라마다 서울 동대문,5,잘 쉬다가 갑니다~,2022. 02. 06,2022. 02. 06,10
106,라마다 서울 동대문,5,너무 좋았어요~!,2022. 02. 06,2022. 02. 06,9
107,라마다 서울 동대문,5,혼자 간거였는데 혼자 쓰기 엄청 넓은 방을 주셨어요. 위치 접근성도 매우 좋아서 도보 이동 하기 좋더라구요.,2022. 02. 06,2022. 02. 06,60
108,라마다 서울 동대문,5,친절하고 깔끔하고 최고,2022. 02. 06,2022. 02. 06,12
109,라마다 서울 동대문,3,프론트직원분은 친절하시고 좋았는데 어메니티 부족하다고 말씀드려서 올라오신 남자직원분은  불친절 돈 더내야된다고 5명이라 일부러 이곳에 예약한거였는데 인원 수 만큼 준비해주셔야 하는 것 아닌가요 부족한게 있어서 요청드렸더니 불친절..그것 빼고는 만족했습니다 얼리체크인도 도와주시고! 위치나 시설도 괜찮구요,2022. 02. 05,2022. 02. 05,169
110,라마다 서울 동대문,5,아주 훌륭한 호텔이네요!,2022. 02. 04,2022. 02. 04,13
111,라마다 서울 동대문,3,"을지로 근접이라 위치상으로는 좋아요~
근처에서 놀기에 가성비 좋네요",2022. 02. 04,2022. 02. 04,37
112,라마다 서울 동대문,5,방도 넓고 냉장고도 엄청 커서 좋아요. 다만 건조하니 물이나 젖은 수건이 필요할 거 같아요.,2022. 02. 03,2022. 02. 03,51
113,라마다 서울 동대문,5,좋았습니다,2022. 02. 03,2022. 02. 03,5
114,라마다 서울 동대문,4,베개에 털이 붙어있어서 그냥 그 베개는 치우고 있었네요. 위치도 좋고 다 좋았지만 청결이 조금 아쉽네요.,2022. 02. 03,2022. 02. 03,58
115,라마다 서울 동대문,5,"샤워는 할 수 있지만 수압이 약하네요...
그외 다른 부분은 대만족입니다!!",2022. 02. 03,2022. 02. 03,42
116,라마다 서울 동대문,5,"잘쉬다 왔어요
모든게 다 좋아서 또가고 싶네요
아이들과 같이가기 조아요",2022. 02. 03,2022. 02. 03,39
117,라마다 서울 동대문,5,프론트직원분들항상 친절하시고 방도 항상 깔끔하고 아쉬운건 그 샴푸 이런거 예민하시면 가져오시는게 좋을것같아요. 있긴합니다만,2022. 02. 03,2022. 02. 03,68
118,라마다 서울 동대문,5,"4인실이 이가격이라니 별기대없이 갔는데, 위치너무좋고 생각보다 넓어서 만족했어요 화장실배수가 잘안되어서 말씀드렸더니 바로처리해주셨고, 재실케어도 해줘서 수건.생수채워주시고 이불정리까지 되어있었어요 조식뷔페운영을 안해서 아쉬웠어요",2022. 02. 02,2022. 02. 02,127
119,라마다 서울 동대문,5,편안하게 쉬다 갑니다,2022. 02. 02,2022. 02. 02,11
120,라마다 서울 동대문,4,잘쉬다갑니당,2022. 02. 02,2022. 02. 02,6
121,라마다 서울 동대문,5,시설이 괜찮고 무난해여~,2022. 02. 02,2022. 02. 02,13
122,라마다 서울 동대문,5,업그레이드 해주셔서 감사해요,2022. 02. 01,2022. 02. 01,15
123,라마다 서울 동대문,5,"도심이니만큼 접근성도 좋은 건 말할 것도 없지만, 가격대비 깨끗한 객실에 가장 큰 만족감을 느꼈습니다.",2022. 02. 01,2022. 02. 01,57
124,라마다 서울 동대문,1,"스탠다드더블을 예약해서 숙박했는데 기본적으로 2층으로 배정되었다해서 어필해서 4층으로 배정받았으나 옆건물에 가려 창밖전망은 거의 고층빌딩만 보이는 수준이었고  
기본배정물품외에는 물한병도 돈내고 구입해야한다하고 그것도 편의점가격의 두배가격인 1600원이라 해서 밖에나가서 사다먹었습니다.",2022. 01. 31,2022. 01. 31,160
125,라마다 서울 동대문,5,"신발벗고 들어가던 큼지막한 객실만 배정받다가
이번엔 객실스타일이 다른곳으로 배정받았네요.
약간 좁고 불편했습니다.",2022. 01. 30,2022. 01. 30,63
126,라마다 서울 동대문,5,건조하긴 하지만 깨끗하고 좋았어요!,2022. 01. 30,2022. 01. 30,19
127,라마다 서울 동대문,5,일주일동안 잘 묵다 갔습니당 감사합니다,2022. 01. 29,2022. 01. 29,21
128,라마다 서울 동대문,5,푹 쉬다 갑니다,2022. 01. 29,2022. 01. 29,8
129,라마다 서울 동대문,4,잘쉬다 갑니다,2022. 01. 29,2022. 01. 29,7
130,라마다 서울 동대문,5,가성비 좋았었요,2022. 01. 28,2022. 01. 28,8
131,라마다 서울 동대문,5,조용하고 깨끗해서 좋았습니다.,2022. 01. 27,2022. 01. 27,16
132,라마다 서울 동대문,5,늘 편안하게 잘 이용하고 있어요,2022. 01. 26,2022. 01. 26,17
133,라마다 서울 동대문,5,깔끔하고 좋았어요,2022. 01. 25,2022. 01. 25,9
134,라마다 서울 동대문,5,친절하시구요! 조금 난방 히터? 틀어놓으면 너무덥고 건조하고 ㅜㅜ안틀기엔 춥고 조금 애매하긴한데 가성비 좋아오!!!,2022. 01. 23,2022. 01. 23,64
135,라마다 서울 동대문,4,대로변에 위치해서 찾기쉬웠고 푹 쉬다 왔네요. 다음에 근처가면 또 갈께요.,2022. 01. 22,2022. 01. 22,41
136,라마다 서울 동대문,5,좋아요!!!,2022. 01. 22,2022. 01. 22,6
137,라마다 서울 동대문,5,Goooood,2022. 01. 21,2022. 01. 21,7
