,hotel,star,review,date,real_date,length
0,송도 센트럴파크 호텔,5,방도넓고 전망이좋았어요,1일 전,2022. 03. 14,12
1,송도 센트럴파크 호텔,4,층수가 낮아서 뷰가 좀 안보이긴 했지만 만족스럽네요,1일 전,2022. 03. 14,28
2,송도 센트럴파크 호텔,3,"넓고 고급진 방. 천장을 오픈해서 하늘을 볼 수 있다는점. 16층 뷰도 참 좋았는데요..
월풀이 생각보다 관리가 잘 안되어있어서 더러웠습니다. 기대하고 갔는데 사용을 못했어요.
또, 새벽에 비상계단에서 흡연자로 인해 전객실에 화재경보기가 울려서 16층부터 계단으로 내려온 경험은 최악이었네요.. 전객실 공지 시스템이 없어서 사란들 다 새벽에 내려와 무슨 난리인지..",1일 전,2022. 03. 14,204
3,송도 센트럴파크 호텔,2,"여태껏 방문했던중에
객실 청소 상태 최악이었습니다.

이불에는 무엇인지 모르는 시뻘건것이 묻어 있었는데
이걸 보지 못했다는것이 이해가 되지 않네요.

매번 이용할때마다 만족해하며 이용했는데
이번에는 정말 실망스러웠습니다.더보기",1일 전,2022. 03. 14,126
4,송도 센트럴파크 호텔,5,엔틱한 인테리어와 깔끔한 객실. 주위에 놀곳과 먹을곳이 많아 좋았어요 가성비가 좋은곳!,1일 전,2022. 03. 14,48
5,송도 센트럴파크 호텔,5,호캉스로 딱이에요!!,1일 전,2022. 03. 14,11
6,송도 센트럴파크 호텔,5,위치는 송도랜드마크가 잘 보입니다. 수압도 쎄고 이용하는데 가성비는 괜찮습니다.다만 주변에 뭐 먹으려면 좀 나가야하는게 단점입니다.,4일 전,2022. 03. 12,73
7,송도 센트럴파크 호텔,5,뷰가 정말 멋졌어요!!!,5일 전,2022. 03. 12,13
8,송도 센트럴파크 호텔,5,좋아요 또올게요,5일 전,2022. 03. 12,8
9,송도 센트럴파크 호텔,5,다섯번째 방문인데 다섯번다 좋았어요 공원도 다보이고 직원분들도 친절하시고 좋아요,6일 전,2022. 03. 12,44
10,송도 센트럴파크 호텔,5,"전체 분위기는 좋았으나 화장실 공간활용이 아쉬웠으며 옷장 먼지가 눈에 거슬림
방 온도가 조금 낮았지만 이불속으로 들어가니 괜찮았음
파크뷰 굿",6일 전,2022. 03. 12,78
11,송도 센트럴파크 호텔,5,좋았습니다,6일 전,2022. 03. 12,5
12,송도 센트럴파크 호텔,4,"편의점과 마트가 걷기에는 좀 멀어 불편했습니다. 내부 욕조가 커서 좋았고, 방도 넓어 답답한 느낌도 없어 좋았어요. 
핸드폰 충전기를 갖고 가지 않아 프론트에서 빌리려는데 1만원 보증금과 신분증을 요구하셔서 빌리지 않았습니다. 신분증말고 다른 방법은 없을까요? 객실 예약 정보와 보증금만으로도 충분하다고 생각합니다. 
물론, 갖고 가지 못한 제 잘못이 더 크지만요. 그 외엔 무난한 숙소였습니다.",2022. 03. 07,2022. 03. 07,221
13,송도 센트럴파크 호텔,4,올드한 느낌이 있는데 따뜻하고 좋았어요,2022. 03. 07,2022. 03. 07,21
14,송도 센트럴파크 호텔,5,잘쉬었다갑니다,2022. 03. 07,2022. 03. 07,7
15,송도 센트럴파크 호텔,5,"너무 잘 쉬다 갑니다
호수 뷰가 건물과 어우러져서 너무 좋았어요 부대시설이 없지만 그걸 포함한 값이겠죠 ㅋㅋ
조식 뷔페는 조금 아쉬웠지만 프론트도 친절하시고 너무 좋은 경험이라 다 5점 드립니다~",2022. 03. 07,2022. 03. 07,109
16,송도 센트럴파크 호텔,5,깨끗하고 너무 좋네요,2022. 03. 07,2022. 03. 07,11
17,송도 센트럴파크 호텔,5,편히 잘쉬다왔어요~,2022. 03. 07,2022. 03. 07,10
18,송도 센트럴파크 호텔,5,편했습니다,2022. 03. 07,2022. 03. 07,5
19,송도 센트럴파크 호텔,5,굿!!!!!,2022. 03. 07,2022. 03. 07,6
