,hotel,star,review,date,real_date,length
0,신라스테이 광화문,5,만족합니다,1일 전,2022. 03. 14,5
1,신라스테이 광화문,5,잘쉬다갑니당,1일 전,2022. 03. 14,6
2,신라스테이 광화문,5,아주좋아요,1일 전,2022. 03. 14,5
3,신라스테이 광화문,5,깔끔했어요 !?,2일 전,2022. 03. 13,8
4,신라스테이 광화문,3,"여기 또 오랜만에 오게 됐었는데요. 참으로 직원들 수준이 참..롯데나 메리엇따라 갈려면 한 참이나 멀었더군요. 밤 늦은 시간에 피곤한 몸을 이끌고 체크인 하러 갔더니 맨 왼쪽에 있던 젊은 남자분. 왜 그런 눈초리와 말투로 손님한테 함부로 대하나요?정말이지 너무기분나쁘더군요.
그리고 대체 신라멤버스는 엇다 쓰는건가요..?참나 멤버스인지 아닌지 물어는 봐봤어요..?
참고로 롯데는 가는 곳마다 100%다 멤버인지 아닌지를 파악해두고+포인트적립은 덤으로 당연하게 하여 주고 있습니다

정말 어플자체도 누구의 생각일까요..??더보기",4일 전,2022. 03. 12,294
5,신라스테이 광화문,5,방이 살짝 추웠는데 온풍기도 직접 올려다주시고 편하게 너무 잘 쉬었어요!,4일 전,2022. 03. 12,40
6,신라스테이 광화문,5,아주 좋았어요,4일 전,2022. 03. 12,7
7,신라스테이 광화문,5,"기본룸도 지나치게 좁지 않고 침구류가 괜찮아요
전반적으로 깔끔하나 노후된 부분이 좀 있어요
아쉬운 점은 난방..중앙난방인데 온도를 높게 설정해도 추워요",4일 전,2022. 03. 12,84
8,신라스테이 광화문,4,역에서 가까워요,5일 전,2022. 03. 12,8
9,신라스테이 광화문,4,깨끗하고 좋아요,5일 전,2022. 03. 12,8
10,신라스테이 광화문,5,교통편리하고 주변 맛집도 많고,5일 전,2022. 03. 12,16
11,신라스테이 광화문,5,방도 깨끗하고 침대 비개도 푹신하고 방음도 잘되고 편히 쉬었다가 갑니다,5일 전,2022. 03. 12,39
12,신라스테이 광화문,5,교통도좋고 주차장도 좋아요 다만 주차요금받는다는거ㅎㅎ…,5일 전,2022. 03. 12,30
13,신라스테이 광화문,5,좋았어요!!!,5일 전,2022. 03. 12,7
14,신라스테이 광화문,4,객실 청소상태가 아쉽긴했지만 친절해서 또 오고싶네요,6일 전,2022. 03. 12,28
15,신라스테이 광화문,5,요번에 또 가려구요 ㅎㅎ 좋았습니다,2022. 03. 08,2022. 03. 08,19
16,신라스테이 광화문,5,깨끗하고 좋아요,2022. 03. 07,2022. 03. 07,8
17,신라스테이 광화문,5,다음 기회에 또 가고싶긴하네여.,2022. 03. 07,2022. 03. 07,17
18,신라스테이 광화문,5,깔끔하고 좋았어요,2022. 03. 07,2022. 03. 07,9
19,신라스테이 광화문,5,다좋은데 히터가 안되서 추웠어요 ㅜ,2022. 03. 07,2022. 03. 07,19
