,hotel,star,review,date,real_date,length
0,신라스테이 구로,4,서울출장갔다가 들렸는데 깔끔하고 편하게 쉬다왔습니다,1일 전,2022. 03. 14,28
1,신라스테이 구로,5,역이랑도 가깝고 근처 편의점이 있어 좋습니다. 룸컨디션도 괜찮습니다.,1일 전,2022. 03. 14,38
2,신라스테이 구로,5,늘좋은곳입니다,1일 전,2022. 03. 14,7
3,신라스테이 구로,5,매우 좋은 하루였어요. 만족만족,1일 전,2022. 03. 14,17
4,신라스테이 구로,5,서비스도좋은데 주차가협소하네요,1일 전,2022. 03. 14,16
5,신라스테이 구로,4,깔끔해요!!!!,1일 전,2022. 03. 14,8
6,신라스테이 구로,5,OKOKOKOKOKOK,1일 전,2022. 03. 14,12
7,신라스테이 구로,5,잘 쉬엇어요,1일 전,2022. 03. 14,6
8,신라스테이 구로,5,편하게잘쉬었어요,2일 전,2022. 03. 13,8
9,신라스테이 구로,3,"-. 이전 투숙객이 구매했던 음식물 냉장고에 보관 및 침대 위 머리카락이 많아 위생상태와 정리상태가 별로였습니다.
-. 역과 엄청 가까운 위치에있어 이동하기에는 엄청 편합니다.
-.  프론트 직원분 중 남자분이 설명을 대충 해줬어요 체크인할때 보통 다 설명해주고 이해가 되게끔 하지않나요..? 그래서 옆에계신 다른 프론트 직원분께 설명 들었습니다. 정확한 인상착의는 생략하겠습니다.",3일 전,2022. 03. 12,213
10,신라스테이 구로,5,장소도 좋고 편리하게 친구랑 호캉스 즐긴것같습니다~,3일 전,2022. 03. 12,28
11,신라스테이 구로,5,Okokokokok,3일 전,2022. 03. 12,10
12,신라스테이 구로,5,체크인 시간 늦으면 주차가 엄청 힘들듯,3일 전,2022. 03. 12,21
13,신라스테이 구로,5,편히쉬다갑니다,4일 전,2022. 03. 12,7
14,신라스테이 구로,5,위치도 좋고 청결하고 좋았어요,4일 전,2022. 03. 12,16
15,신라스테이 구로,5,잘썻어요~~,4일 전,2022. 03. 12,6
16,신라스테이 구로,5,"깔 끔하고 좋앗습니다
다음엔 꼭 조식을 먹어보겟습니다",5일 전,2022. 03. 12,29
17,신라스테이 구로,3,좋았어요 깨끗하고,5일 전,2022. 03. 12,9
18,신라스테이 구로,1,너무 지저분해요,5일 전,2022. 03. 12,8
19,신라스테이 구로,5,역시 신라스테라고 생각합니다 잘 놀았습니당!,5일 전,2022. 03. 12,24
20,신라스테이 구로,5,깨끗하고 좋았어요 ^^,6일 전,2022. 03. 12,12
