,hotel,star,review,date,real_date,length
0,오라카이 송도파크 호텔,5,너무너무 잘지냇다가 갑니닷!!,1일 전,2022. 03. 14,16
1,오라카이 송도파크 호텔,5,"체크인할 때 오래 대기하는거랑 치약, 칫솔 돈 내야해서 아쉬웠지만 방도 넓고 뷰가 최고네요! 좋았어요",4일 전,2022. 03. 12,56
2,오라카이 송도파크 호텔,5,만족했습니다 다만 인근 객실에서 몇분간 목청 터져라 노래를 부르는 사람이 있었음 ㅠ,5일 전,2022. 03. 12,46
3,오라카이 송도파크 호텔,5,잘 지내다갑니다 뷰가 아주 환상적..근데 이마트편의점에 없는게 너무 많앗어요ㅠㅠ,5일 전,2022. 03. 12,44
4,오라카이 송도파크 호텔,5,방이 생각보다 넓고 깨끗하고 뷰가 좋아요!,6일 전,2022. 03. 12,23
5,오라카이 송도파크 호텔,4,"언제나 좋아요
그런데 룸서비스가 누락 돼서 너무 슬펐습니당 ㅠㅠ",2022. 03. 07,2022. 03. 07,35
6,오라카이 송도파크 호텔,5,깔끔하고 뷰도 좋았어요 잘 쉬다 갑니당,2022. 03. 07,2022. 03. 07,21
7,오라카이 송도파크 호텔,2,"침대 꺼짐, 의자 불편, 생각보다 시설 낡은 편",2022. 03. 07,2022. 03. 07,26
8,오라카이 송도파크 호텔,5,아주 만족합니다,2022. 03. 07,2022. 03. 07,8
9,오라카이 송도파크 호텔,5,호텔은 괜찮았는데 매일 해주시는 청소가 좀 불만족스러웠어요,2022. 03. 07,2022. 03. 07,32
10,오라카이 송도파크 호텔,5,시티뷰도 나름 이쁘고 좋았습니다,2022. 03. 06,2022. 03. 06,17
11,오라카이 송도파크 호텔,5,두번째 방문 파크뷰가 너무 이뻐요,2022. 03. 06,2022. 03. 06,18
12,오라카이 송도파크 호텔,5,전망도 좋았어요.다만 변기에 비데가 없는게 옥의 티라고나할까요...,2022. 03. 06,2022. 03. 06,37
