,hotel,star,review,date,real_date,length
0,"파라다이스호텔&리조트,파라다이스시티",5,최고로 좋습니다..,2022. 03. 07,2022. 03. 07,10
1,"파라다이스호텔&리조트,파라다이스시티",5,진짜 너무좋아요 ㅜㅜ 또가고싶엉ㅎ,2022. 03. 05,2022. 03. 05,18
2,"파라다이스호텔&리조트,파라다이스시티",5,또 그고싶어요~~=,2022. 03. 04,2022. 03. 04,10
3,"파라다이스호텔&리조트,파라다이스시티",5,아주 좋았습니다,2022. 03. 02,2022. 03. 02,8
4,"파라다이스호텔&리조트,파라다이스시티",4,"친절하고 이용시설 많고 아이랑 가기 좋은 호텔 같아요. 근데 먼지가 많았는지 알러지성 비염이 엄청 심해져서 힘들었네요
수영장에 사람이 너무 많아서 들어갔다 나왔어요 ...동시인원 제한이 필요해보입니다.",2022. 03. 01,2022. 03. 01,112
5,"파라다이스호텔&리조트,파라다이스시티",5,편안하게 쉬다갑니다,2022. 02. 28,2022. 02. 28,10
6,"파라다이스호텔&리조트,파라다이스시티",5,시설 좋고 깨끗하고 좋아요,2022. 02. 28,2022. 02. 28,14
7,"파라다이스호텔&리조트,파라다이스시티",5,"예비고딩딸아이와함께 몇달만에 다시가는 호캉스 
서울에만 있다가 인천파라다이스시티를 보고 방문하게되었는데 볼거리 즐길거리 먹거리 모두 만족할수있는 복합레저 리조트느낌이네요 .예전에 외국에서 다녀온 호텔과 너무 흡사했고 그래서 더 익숙하고 편한느낌으로 잘쉬고왔습니다.
특히 씨메르너무 괜찮았고  워터슬라이드도 꽤 재밌습니다. 다만 호텔수영장은 수영하기보다는 아이들과 함께 하는가족이 많았구요 .
식사도 봉피양 진가와 다 맛있었고 룸서비스도 맛있네요.
원더박스는 초등저학년있는 가족에겐 좋은장소같습니다.
룸컨디션도 괜찮고 깔끔합니다.
전체적으로 너무나 만족스러운곳이었습니다.더보기",2022. 02. 24,2022. 02. 24,321
8,"파라다이스호텔&리조트,파라다이스시티",5,넘조음 또갈듯,2022. 02. 24,2022. 02. 24,7
9,"파라다이스호텔&리조트,파라다이스시티",4,너무 청결하고 시설이 좋았습니다.,2022. 02. 22,2022. 02. 22,18
10,"파라다이스호텔&리조트,파라다이스시티",5,다좋앗어용또갈거에여,2022. 02. 19,2022. 02. 19,10
11,"파라다이스호텔&리조트,파라다이스시티",4,아기데리고가기좋은호텔이에요,2022. 02. 15,2022. 02. 15,14
12,"파라다이스호텔&리조트,파라다이스시티",5,너무좋아요...,2022. 02. 14,2022. 02. 14,8
13,"파라다이스호텔&리조트,파라다이스시티",5,엑티비티가 너무 많아서 좋아요,2022. 02. 13,2022. 02. 13,16
14,"파라다이스호텔&리조트,파라다이스시티",5,"저희 가족 즐겁게 잘 보내고 왔어요~ 
기대한 만큼 너무 좋았어요 ^^
룸도 깨끗하고 예쁘고 
저녁에 코스요리도 맛있었고 
아이랑 원더박스에서도 재밌었어요~더보기",2022. 02. 10,2022. 02. 10,90
15,"파라다이스호텔&리조트,파라다이스시티",5,역시 듣던대로 최고의 시설이었습니다,2022. 02. 10,2022. 02. 10,19
16,"파라다이스호텔&리조트,파라다이스시티",5,수영장 진짜 최고입니다,2022. 02. 03,2022. 02. 03,12
17,"파라다이스호텔&리조트,파라다이스시티",5,"가족단위로 오는 곳이라 씨메르엔 사람이 많이 없어서 좋았어요! 안에 놀거리도 많구 시설도 좋았어요 
다만 인천공항 근처라 멀어요.. ㅎㅎ",2022. 02. 03,2022. 02. 03,76
18,"파라다이스호텔&리조트,파라다이스시티",5,친절하고 좋았어요,2022. 02. 01,2022. 02. 01,9
19,"파라다이스호텔&리조트,파라다이스시티",5,갈때마다 좋아요! 제일 좋아요!,2022. 01. 30,2022. 01. 30,17
20,"파라다이스호텔&리조트,파라다이스시티",5,아이 데리고 가기 좋은 숙소입니다,2022. 01. 30,2022. 01. 30,18
21,"파라다이스호텔&리조트,파라다이스시티",5,"깨끗이 정돈되어있어서 쾌적해요. 체크인때는 사람이 많아서 좀 기다려야 하는 단점이 있지만, 씨메르랑 찜질방 이용하고 편하게 있다왔습니다.",2022. 01. 28,2022. 01. 28,76
22,"파라다이스호텔&리조트,파라다이스시티",5,너무너무 즐거운 호캉스였어요! 생일이라 간건데 진짜 생일 느낌 팍팍 느끼고 왔어요!!><,2022. 01. 27,2022. 01. 27,49
23,"파라다이스호텔&리조트,파라다이스시티",5,지인소개로 칭구랑 다녀왔는데 호텔안도 생각보다 넓고 고급지고 전체 분위기가 넘~좋았어요 간만에 칭구랑 만나는 음식도먹고 1박2일 놀기에는 너무좋았습니다.,2022. 01. 27,2022. 01. 27,85
