,Unnamed: 0,hotel,star,review,date,real_date,length
0,0,그랜드 하얏트 서울,5,최고의 주말 데이트를 했습니다,1일 전,2022. 03. 14,16
1,1,그랜드 하얏트 서울,5,조식 맛집👍,2일 전,2022. 03. 13,6
2,2,그랜드 하얏트 서울,5,야경이 너무너무 멋졌어요^^,2022. 03. 07,2022. 03. 07,15
3,3,그랜드 하얏트 서울,4,"체크인 시간 전에 도착 시 대기 할 공간이 미흡했던 것같고, 시설 이용할 수 있는게 한정적이여서 아쉬움이 컸음",2022. 03. 07,2022. 03. 07,61
4,4,그랜드 하얏트 서울,5,직원분이 너무너무 친절하셔서 기분 좋게 잘 다녀왔습니다~,2022. 03. 07,2022. 03. 07,31
5,5,그랜드 하얏트 서울,5,걸어가긴 힘든데 넘 조아요,2022. 03. 05,2022. 03. 05,14
6,6,그랜드 하얏트 서울,5,good.,2022. 03. 04,2022. 03. 04,5
7,7,그랜드 하얏트 서울,5,최고!!!!!!!!!!!,2022. 03. 02,2022. 03. 02,13
8,8,그랜드 하얏트 서울,5,역시 5성급은 달라요,2022. 03. 02,2022. 03. 02,11
9,9,그랜드 하얏트 서울,5,좋았습니다,2022. 02. 28,2022. 02. 28,5
10,10,그랜드 하얏트 서울,5,최상층 됐는데 다들 진짜 너무 친절하시고 재밌는것도 많아서 노히려 피곤할정도로 놀고왔네요 나중에 부모님도 모시고 오려구요 또 오고 싶어요,2022. 02. 23,2022. 02. 23,76
11,11,그랜드 하얏트 서울,5,친절하고 시설도 좋네요,2022. 02. 23,2022. 02. 23,12
12,12,그랜드 하얏트 서울,3,"시설 분위기 친절 다 조으나...
휘트니스는 클럽 회원 아님 옷 안빌려주네요..(자세한 내용이 적혀있지 않아요..이용은 가능하나 개인 옷 가져가야함)
주차비도 별도네용 ㅎㅎ 
스쿼시 필라테스 사우나 다 별도로 돈이들어요",2022. 02. 22,2022. 02. 22,122
